ExperimentName,Site,NDARGUID,Version,Overall_RT,Overall_ACC,HappyBlocks_RT,HappyBlocks_ACC,FearBlocks_RT,FearBlocks_ACC,NeutBlocks_RT,NeutBlocks_ACC,PlaceBlocks_RT,PlaceBlocks_ACC,Overall0back_RT,Overall0back_ACC,Happy0back_RT,Happy0back_ACC,Fear0back_RT,Fear0back_ACC,Neut0back_RT,Neut0back_ACC,Place0back_RT,Place0back_ACC,Overall2back_RT,Overall2back_ACC,Happy2back_RT,Happy2back_ACC,Fear2back_RT,Fear2back_ACC,Neut2back_RT,Neut2back_ACC,Place2back_RT,Place2back_ACC,run1Overall_RT,run1Overall_ACC,run1HappyBlocks_RT,run1HappyBlocks_ACC,run1FearBlocks_RT,run1FearBlocks_ACC,run1NeutBlocks_RT,run1NeutBlocks_ACC,run1PlaceBlocks_RT,run1PlaceBlocks_ACC,run1Happy0back_RT,run1Happy0back_ACC,run1Fear0back_RT,run1Fear0back_ACC,run1Neut0back_RT,run1Neut0back_ACC,run1Place0back_RT,run1Place0back_ACC,run1Happy2back_RT,run1Happy2back_ACC,run1Fear2back_RT,run1Fear2back_ACC,run1Neut2back_RT,run1Neut2back_ACC,run1Place2back_RT,run1Place2back_ACC,run2Overall_RT,run2Overall_ACC,run2HappyBlocks_RT,run2HappyBlocks_ACC,run2FearBlocks_RT,run2FearBlocks_ACC,run2NeutBlocks_RT,run2NeutBlocks_ACC,run2PlaceBlocks_RT,run2PlaceBlocks_ACC,run2Happy0back_RT,run2Happy0back_ACC,run2Fear0back_RT,run2Fear0back_ACC,run2Neut0back_RT,run2Neut0back_ACC,run2Place0back_RT,run2Place0back_ACC,run2Happy2back_RT,run2Happy2back_ACC,run2Fear2back_RT,run2Fear2back_ACC,run2Neut2back_RT,run2Neut2back_ACC,run2Place2back_RT,run2Place2back_ACC,Nonlure_ACC,Lure_ACC,Target_ACC,
Emo_Nback_20160913,CUB,DA6VVDEG,1.000,1177.364,0.806,1090.742,0.775,1141.500,0.950,1151.710,0.775,1344.379,0.725,1099.155,0.887,1020.333,0.900,1077.650,1.000,1124.222,0.900,1192.333,0.750,1273.103,0.725,1188.231,0.650,1212.444,0.900,1189.769,0.650,1507.286,0.700,1165.877,0.812,1055.688,0.800,1181.450,1.000,1028.333,0.750,1416.929,0.700,962.333,0.900,1094.000,1.000,1029.600,1.000,1337.625,0.800,1175.714,0.700,1268.900,1.000,1025.800,0.500,1522.667,0.600,1189.031,0.800,1128.133,0.750,1097.111,0.900,1267.375,0.800,1276.667,0.750,1078.333,0.900,1061.300,1.000,1242.500,0.800,1026.286,0.700,1202.833,0.600,1141.875,0.800,1292.250,0.800,1495.750,0.800,0.906,0.812,0.562,
Emo_Nback_20160913,CUB,H6H319AA,1.000,1045.843,0.838,1035.794,0.850,1091.765,0.850,1079.270,0.925,961.138,0.725,921.597,0.963,892.263,0.950,934.158,0.950,941.150,1.000,917.789,0.950,1213.684,0.713,1217.600,0.750,1291.400,0.750,1241.765,0.850,1043.500,0.500,1076.864,0.825,1029.933,0.750,1113.833,0.900,1151.889,0.900,989.400,0.750,843.667,0.900,943.300,1.000,999.400,1.000,979.200,1.000,1309.333,0.600,1327.000,0.800,1342.500,0.800,1009.800,0.500,1015.735,0.850,1040.421,0.950,1066.938,0.800,1010.474,0.950,930.857,0.700,936.000,1.000,924.000,0.900,882.900,1.000,849.556,0.900,1156.444,0.900,1250.714,0.700,1152.222,0.900,1077.200,0.500,0.844,0.719,0.719,
Emo_Nback_20160913,CUB,K9N3BY03,1.000,907.252,0.869,854.171,0.875,869.444,0.900,922.371,0.875,988.758,0.825,827.091,0.963,776.737,0.950,794.350,1.000,889.550,1.000,847.222,0.900,1006.806,0.775,946.125,0.800,963.312,0.800,966.133,0.750,1158.600,0.750,947.515,0.825,970.438,0.800,893.444,0.900,991.778,0.900,933.929,0.700,822.889,0.900,782.400,1.000,998.800,1.000,804.125,0.800,1160.143,0.700,1032.250,0.800,983.000,0.800,1107.000,0.600,870.849,0.912,756.263,0.950,845.444,0.900,848.882,0.850,1029.158,0.950,735.200,1.000,806.300,1.000,780.300,1.000,881.700,1.000,779.667,0.900,894.375,0.800,946.857,0.700,1193.000,0.900,0.969,0.688,0.844,
Emo_Nback_20160913,CUB,LWRKNUN1,1.000,834.889,0.844,758.400,0.875,780.324,0.850,841.778,0.900,977.700,0.750,740.743,0.875,665.684,0.950,778.933,0.750,680.150,1.000,869.812,0.800,936.277,0.812,868.500,0.800,781.421,0.950,1043.812,0.800,1101.000,0.700,841.851,0.838,794.278,0.900,815.400,0.750,827.667,0.900,936.125,0.800,687.222,0.900,719.833,0.600,646.400,1.000,882.444,0.900,901.333,0.900,879.111,0.900,1054.250,0.800,1005.143,0.700,828.029,0.850,720.412,0.850,752.632,0.950,855.889,0.900,1025.214,0.700,646.300,1.000,818.333,0.900,713.900,1.000,853.571,0.700,826.286,0.700,693.500,1.000,1033.375,0.800,1196.857,0.700,0.844,0.625,0.781,
Emo_Nback_20160913,CUB,R2HJCC0M,3.000,1102.530,0.731,1098.714,0.700,1093.862,0.725,1029.406,0.800,1198.893,0.700,1056.750,0.700,1129.375,0.800,982.385,0.650,871.333,0.750,1272.250,0.600,1144.557,0.762,1057.833,0.600,1184.438,0.800,1168.882,0.850,1143.875,0.800,1174.054,0.700,1217.385,0.650,1216.786,0.700,1121.000,0.850,1152.417,0.600,1190.857,0.700,1330.600,0.500,985.125,0.800,1281.000,0.500,1248.333,0.600,1153.556,0.900,1241.778,0.900,1060.571,0.700,1036.869,0.762,995.867,0.750,979.133,0.750,925.600,0.750,1233.750,0.800,1081.556,0.900,764.750,0.800,741.286,0.700,1266.000,0.700,867.333,0.600,1224.143,0.700,1086.875,0.800,1208.667,0.900,0.844,0.562,0.469,
Emo_Nback_20160913,CUB,TZ0RTCNR,1.000,1116.382,0.543,1145.125,0.400,980.100,0.500,1144.350,0.667,1201.700,0.667,1056.571,0.583,1179.000,0.350,970.500,0.400,1037.000,1.000,1059.300,1.000,1167.439,0.512,1118.778,0.450,986.500,0.600,1251.700,0.500,1344.100,0.500,1141.803,0.887,1145.125,0.800,1055.000,0.750,1144.350,1.000,1201.700,1.000,1179.000,0.700,970.500,0.800,1037.000,1.000,1059.300,1.000,1118.778,0.900,1151.571,0.700,1251.700,1.000,1344.100,1.000,755.400,0.083, NaN,0.000,755.400,0.250, NaN,0.000, NaN,0.000, NaN,0.000, NaN,0.000, NaN, NaN, NaN, NaN, NaN,0.000,755.400,0.500, NaN,0.000, NaN,0.000,0.393,0.500,0.536,
Emo_Nback_20160913,CUB,UY1UGEA3,3.000,1093.875,0.700,1098.630,0.675,1095.571,0.700,1040.280,0.625,1130.250,0.800,1044.550,0.750,1005.471,0.850,1030.062,0.800,1021.000,0.600,1123.133,0.750,1150.788,0.650,1257.000,0.500,1182.917,0.600,1058.077,0.650,1136.529,0.850,1104.930,0.713,1053.429,0.700,1091.000,0.800,1071.727,0.550,1186.750,0.800,1004.750,0.800,949.111,0.900,1125.600,0.500,1151.714,0.700,1118.333,0.600,1273.429,0.700,1026.833,0.600,1214.000,0.900,1082.418,0.688,1147.308,0.650,1101.667,0.600,1015.571,0.700,1073.750,0.800,1006.111,0.900,1134.143,0.700,946.286,0.700,1098.125,0.800,1465.000,0.400,1056.200,0.500,1084.857,0.700,1049.375,0.800,0.844,0.281,0.656,
Emo_Nback_20160913,CUB,VL1JXMTC,3.000,1062.176,0.781,975.581,0.775,975.742,0.775,1202.931,0.725,1099.882,0.850,1092.729,0.875,1069.611,0.900,1015.375,0.800,1220.312,0.800,1073.350,1.000,1023.291,0.688,845.385,0.650,933.467,0.750,1181.538,0.650,1137.786,0.700,1138.222,0.787,1035.000,0.750,1197.562,0.800,1162.267,0.750,1152.235,0.850,1257.750,0.800,1261.667,0.900,1221.111,0.900,1123.200,1.000,780.429,0.700,1115.143,0.700,1074.000,0.600,1193.714,0.700,984.903,0.775,919.875,0.800,739.133,0.750,1246.500,0.700,1047.529,0.850,919.100,1.000,698.714,0.700,1219.286,0.700,1023.500,1.000,921.167,0.600,774.500,0.800,1273.714,0.700,1081.857,0.700,0.844,0.906,0.438,
Emo_Nback_20160913,CUB,VT3K0T1N,2.000,947.833,0.675,890.154,0.650,960.484,0.775,893.000,0.775,1088.200,0.500,898.431,0.812,780.667,0.750,916.556,0.900,876.750,1.000,1054.583,0.600,1022.512,0.537,1039.455,0.550,1021.308,0.650,922.545,0.550,1138.625,0.400,984.185,0.675,911.071,0.700,1022.438,0.800,868.333,0.750,1223.000,0.450,916.889,0.900,931.200,1.000,818.300,1.000,1188.000,0.500,900.600,0.500,1174.500,0.600,968.400,0.500,1266.750,0.400,911.481,0.675,865.750,0.600,894.400,0.750,916.125,0.800,977.909,0.550,576.333,0.600,898.250,0.800,935.200,1.000,959.286,0.700,1155.167,0.600,890.000,0.700,884.333,0.600,1010.500,0.400,0.656,0.688,0.531,
Emo_Nback_20160913,CUB,XMWLDC53,1.000,1042.162,0.887,987.553,0.950,944.429,0.875,1089.921,0.950,1160.903,0.775,911.014,0.912,833.316,0.950,864.105,0.950,917.474,0.950,1051.312,0.800,1180.913,0.863,1141.789,0.950,1039.812,0.800,1262.368,0.950,1277.800,0.750,1046.833,0.900,1024.947,0.950,955.118,0.850,1089.789,0.950,1115.000,0.850,828.333,0.900,802.778,0.900,906.700,1.000,1018.700,1.000,1201.900,1.000,1126.500,0.800,1293.222,0.900,1252.571,0.700,1037.357,0.875,950.158,0.950,934.333,0.900,1090.053,0.950,1216.643,0.700,837.800,1.000,919.300,1.000,929.444,0.900,1105.667,0.600,1075.000,0.900,953.125,0.800,1234.600,1.000,1299.875,0.800,0.875,0.875,0.812,
